Careless;HE01_01_r;HE01_09_r;HE01_10_r;HE01_12_r;HE01_14_r;HE01_15_r;HE01_19_r;HE01_20_r;HE01_21_r;HE01_24_r;HE01_26_r;HE01_28_r;HE01_30_r;HE01_31_r;HE01_32_r;HE01_35_r;HE01_41_r;HE01_42_r;HE01_44_r;HE01_46_r;HE01_48_r;HE01_49_r;HE01_52_r;HE01_53_r;HE01_55_r;HE01_56_r;HE01_57_r;HE01_59_r;HE01_60_r;HE01_02;HE01_03;HE01_04;HE01_05;HE01_06;HE01_07;HE01_08;HE01_11;HE01_13;HE01_16;HE01_17;HE01_18;HE01_22;HE01_23;HE01_25;HE01_27;HE01_29;HE01_33;HE01_34;HE01_36;HE01_37;HE01_38;HE01_39;HE01_40;HE01_43;HE01_45;HE01_47;HE01_50;HE01_51;HE01_54;HE01_58;time_p1;time_p2;time_p3;time_p4;time_p5;time_p6;sex;age;SO04;SO06;longstr;avgstr;longstr1;longstr6;longstrDiff;irvTotal;irv1;irv6;irvDiff;res_mahad;res_psycsyn;res_evenodd;res_u3poly
1;3;4;3;3;4;3;1;3;5;4;4;4;4;3;4;4;1;3;4;3;4;4;4;2;3;4;4;5;5;5;2;3;2;3;2;4;4;5;3;4;3;5;4;5;2;4;3;4;3;3;3;3;5;3;4;4;4;2;4;4;47042;47127,3;46976,67;34811,11;37436,65;55537,78;1;31;1;1;4;1,27659574468085;1;2;-1;1,09686250033118;0,994428926011753;1,17851130197758;-0,184082375965826;53,2288086539779;-0,211509958255135;-0,73623682916365;0,1252
0;4;2;4;2;3;2;5;4;4;4;4;4;4;2;4;4;4;4;4;3;3;2;2;4;4;4;4;4;2;5;2;2;4;3;4;4;4;3;5;4;3;2;3;3;2;4;4;3;4;2;3;2;2;4;3;4;4;2;2;3;59652;56465,71;50343,75;46934;49005,56;63238;3;28;1;3;5;1,42857142857143;3;5;-2;0,975838043430184;1,13529242439509;0,849836585598797;0,285455838796296;40,3930110714105;-0,708276028305445;0,930606668894899;0,1255
1;2;2;4;2;2;3;2;1;1;1;1;1;1;1;1;1;4;4;4;4;4;4;4;4;2;2;2;2;1;4;2;2;5;2;4;4;4;4;5;3;4;1;4;5;5;5;4;2;5;5;5;5;3;2;2;2;2;1;2;4;16594,44;17963;16178,89;19651,11;16281,11;20741;1;28;1;3;10;2,5;3;5;-2;1,3066539835658;1,15950180872841;1,31656117720877;-0,157059368480361;114,87032503467;-0,37958074778468;-0,46561375225261;0,4258
0;3;3;1;3;4;3;4;3;2;4;3;2;4;5;2;5;1;3;3;2;4;2;1;4;3;2;4;1;3;2;1;1;3;4;5;3;5;5;1;1;3;1;2;3;2;1;3;1;3;3;3;4;1;4;3;1;3;2;5;1;68063,6;76932,11;61489,8;49351,11;55157;54106,67;2;24;1;2;3;1,2;2;1;1;1,29099444873581;1,4142135623731;1,47572957474524;-0,0615160123721485;65,5825031682948;-0,479317486337544;0,925817578548892;0,26
0;4;5;2;5;4;5;3;4;5;5;4;4;5;5;5;4;3;5;4;1;5;4;2;3;3;5;5;3;5;5;2;4;3;4;4;5;4;2;3;4;2;4;4;4;4;5;4;4;5;5;4;4;2;4;4;4;4;4;5;2;53281,11;63462,81;53168,75;44640;45016,67;58650;1;48;1;4;3;1,25;2;2;0;1,3813732625165;1,34989711542111;1,41813649241218;-0,0682393769910707;58,3485265314254;-0,162363867146606;0,827399765433313;0,1695
1;1;2;2;5;4;3;4;2;4;3;4;3;4;2;4;4;2;2;2;2;3;4;2;5;3;3;2;4;5;4;1;3;2;4;3;4;5;3;2;3;2;4;4;2;1;2;2;4;4;5;5;3;3;4;3;4;5;2;2;3;72233;84913;50856;51472,22;61334,44;60618,89;1;36;1;3;4;1,30434782608696;3;2;1;1,13446271411515;1,17378779077727;1,08012344973464;0,0936643410426239;62,7565104385713;-0,332138527425772;0,847604896310651;0,148
1;4;2;5;4;3;1;4;4;3;4;2;2;4;4;3;4;3;2;2;2;3;3;2;2;5;3;2;4;3;3;2;3;1;2;5;3;5;5;3;4;2;3;4;5;2;2;2;4;5;4;3;2;3;3;2;5;3;2;4;5;46641,25;46426,67;36480;47680,29;41115;54843,33;2;34;1;3;3;1,2;1;3;-2;1,13047162799201;1,26491106406735;1,22927259430572;0,0356384697616334;43,9656538490337;-0,144659390589461;0,940302381752857;0,1731
0;2;4;2;5;4;4;3;4;5;5;2;1;3;3;2;4;4;2;2;3;4;2;1;4;2;4;4;3;5;3;4;1;3;3;2;3;5;3;2;4;3;3;4;4;3;2;4;1;4;2;4;2;2;3;3;4;4;4;3;2;100881;100775,95;80448;72395,28;63655,89;50570;1;20;1;1;3;1,30434782608696;2;3;-1;1,09376765522474;0,994428926011753;1,22927259430572;-0,234843668293965;46,4099481350636;-0,530308873959182;0,987857174234414;0,1884
1;5;2;5;2;4;3;4;3;5;4;5;5;4;4;4;4;3;5;4;3;5;2;4;3;3;3;3;5;2;3;3;4;4;3;4;4;4;3;3;3;2;4;4;4;2;2;3;3;4;3;4;3;3;4;3;3;2;3;5;2;48287;55806,25;37508,89;44805,56;33701,43;60359,72;1;41;1;1;4;1,46341463414634;3;3;0;1,02662300883035;1,19721899973786;1,10050493461461;0,096714065123253;43,8674318327357;-0,13139896215756;0,820482331605978;0,0941
0;3;4;4;5;3;5;2;2;5;4;5;4;2;2;4;4;2;4;5;4;3;4;4;4;4;2;4;3;2;5;2;4;2;5;3;4;4;4;5;2;3;4;4;3;3;3;4;4;5;4;4;4;3;4;4;4;2;4;4;2;60113;57563,75;52110;53059,55;46833,3;82039,94;1;26;1;1;3;1,2;2;2;0;1,14128978479673;1,22927259430572;0,994428926011753;0,234843668293965;51,2106674848199;-0,261526722181681;0,310235689264376;0,1218
